:0;:1;:2;u_x;u_y;u_z
9.7;1;0;0.00E+00;0.00E+00;1.72E-09
9.75;1;0;0.00E+00;0.00E+00;5.72E-09
9.8;1;0;0.00E+00;0.00E+00;7.96E-10
9.85;1;0;0.00E+00;0.00E+00;3.26E-09
9.9;1;0;0.00E+00;0.00E+00;6.32E-11
9.95;1;0;0.00E+00;0.00E+00;9.64E-10
10;1;0;0.00E+00;0.00E+00;0.00E+00
8.95;0;0;0.00E+00;0.00E+00;1.53E-08
8.95;0.05;0;0.00E+00;0.00E+00;3.26E-09
8.95;0.1;0;0.00E+00;0.00E+00;1.47E-08
8.95;0.15;0;0.00E+00;0.00E+00;2.60E-09
8.95;0.2;0;0.00E+00;0.00E+00;1.43E-08
8.95;0.25;0;0.00E+00;0.00E+00;2.31E-09
8.95;0.3;0;0.00E+00;0.00E+00;1.40E-08
8.95;0.35;0;0.00E+00;0.00E+00;2.22E-09
8.95;0.4;0;0.00E+00;0.00E+00;1.38E-08
8.95;0.45;0;0.00E+00;0.00E+00;2.19E-09
8.95;0.5;0;0.00E+00;0.00E+00;1.37E-08
